game_id,Home_team,away_team,points_scored,passing_yards,rushing_yards,receiving_yards,touchdowns,receptions,fumbles_lost,expected_points,player_id
34,WAS,NO,16,12,122,44,0,4,1,70,33099
35,NE,NYJ,11,242,134,86,0,5,0,83,33099
36,DAL,NYJ,36,36,135,177,4,9,0,52,33099
37,MIA,PIT,38,375,134,69,1,7,1,96,33099
38,NE,BUF,45,20,33,8,1,2,0,53,33099
39,TB,TEN,32,205,62,168,3,0,0,47,33099
40,CHI,LAC,44,101,123,115,0,3,1,49,33099
41,CHI,TEN,43,255,95,118,1,4,0,18,33131
42,NO,SF,46,195,20,86,4,2,0,95,33131
43,HOU,SF,30,164,53,74,2,3,0,71,33131
44,CLE,SEA,49,140,121,174,3,1,0,74,33131
45,TB,PIT,47,451,39,75,2,8,1,0,33131
46,NYG,LV,43,270,137,2,3,1,1,25,33131
47,BAL,DEN,35,311,186,76,0,6,1,49,33131
48,PIT,HOU,36,449,49,172,1,4,2,68,33131
49,NYG,ARI,48,461,69,153,0,2,1,44,33138
50,LA,DEN,31,444,13,84,2,6,0,37,33138
51,CIN,WAS,43,197,68,82,2,8,2,69,33138
52,NYG,BAL,22,421,78,20,4,8,2,45,33138
53,JAX,TEN,29,119,163,149,4,1,2,70,33138
54,GB,DAL,26,186,157,129,4,5,2,3,33138
55,CIN,TEN,49,396,56,172,0,0,2,80,33138
56,DEN,BUF,22,277,162,42,1,2,0,23,33138
57,MIN,TB,39,211,156,140,2,3,0,90,34452
58,NE,DAL,46,126,120,142,2,9,1,60,34452
59,IND,DAL,30,378,116,150,2,3,1,71,34452
60,LA,SEA,43,455,104,90,3,9,1,28,34452
61,LA,PHI,44,56,95,112,4,9,1,16,34452
62,MIN,NO,20,494,44,24,4,4,1,98,34452
63,PIT,CLE,31,150,103,40,2,7,1,40,34452
64,DEN,JAX,47,164,68,85,1,3,2,56,34452
65,GB,PHI,26,314,22,33,2,1,1,72,35443
66,CLE,NYJ,20,175,88,66,4,7,0,89,35443
67,CLE,MIA,35,287,146,41,2,4,2,69,35443
68,CLE,PIT,48,353,133,162,0,1,2,13,35443
69,WAS,BUF,30,318,101,37,3,8,1,11,35443
70,NO,DAL,36,223,60,199,3,0,2,3,35443
71,DET,SF,46,219,118,122,1,6,2,40,35443
72,NYG,TEN,18,441,148,86,0,4,0,11,35443
73,TB,LAC,21,18,52,70,3,4,2,85,35449
74,SF,MIA,10,433,165,159,4,8,0,24,35449
75,GB,LV,31,351,130,145,1,4,2,56,35449
76,LA,TEN,46,277,192,35,1,6,0,74,35449
77,IND,ARI,30,362,98,29,0,2,1,6,35449
78,ARI,SF,41,151,145,192,0,9,1,9,35449
79,IND,CLE,12,31,154,66,4,0,2,12,35449
80,CIN,DET,40,84,39,110,1,8,2,71,35449
81,KC,MIA,43,199,71,188,1,9,2,9,35452
82,SF,NE,40,170,133,42,2,0,1,37,35452
83,CHI,GB,48,155,112,62,2,3,1,59,35452
84,HOU,CIN,36,103,25,199,3,6,2,10,35452
85,SEA,NO,30,0,160,63,1,6,0,0,35452
86,MIA,NE,42,459,132,94,4,7,1,97,35452
87,TEN,WAS,31,52,164,135,0,3,1,20,35452
88,KC,MIN,13,461,55,174,0,9,0,27,35452
89,BAL,MIN,23,272,154,55,1,8,2,66,35459
90,JAX,LAC,49,128,37,79,1,8,2,83,35459
91,SEA,PIT,43,119,22,166,2,4,2,4,35459
92,CHI,NO,19,74,131,50,2,2,2,7,35459
93,LV,NE,48,64,41,76,3,4,0,7,35459
94,PIT,CHI,26,434,135,146,4,9,2,9,35459
95,LA,LV,17,259,64,75,4,4,0,54,35459
96,ATL,CLE,26,444,189,60,1,2,1,51,35459
97,BUF,NYG,20,484,96,11,3,7,2,3,35466
98,ATL,TEN,29,109,177,21,4,8,2,44,35466
99,ATL,IND,40,414,27,102,3,7,2,95,35466
100,CIN,NYG,30,145,18,79,3,9,0,81,35466
101,NE,DET,37,262,96,111,4,6,1,54,35466
102,LAC,PIT,16,229,125,27,3,1,1,49,35466
103,NE,SF,24,194,71,168,0,7,1,88,35466
104,CHI,WAS,33,297,92,61,4,8,2,69,35466
105,TEN,JAX,42,265,77,114,2,9,2,28,35470
106,DET,NE,10,138,186,179,2,5,0,83,35470
107,LAC,CAR,33,253,20,148,1,5,0,52,35470
108,DEN,GB,33,473,94,53,0,7,0,34,35470
109,LA,TB,10,283,137,65,4,5,1,32,35470
110,BAL,IND,12,308,140,161,4,5,1,93,35470
111,NO,HOU,39,108,136,182,4,2,1,66,35470
112,CHI,NYJ,13,49,165,174,2,1,1,69,35470
113,SEA,NYG,11,484,26,87,3,6,2,75,35472
114,GB,NYJ,37,373,20,26,3,3,0,80,35472
115,MIA,SF,40,466,53,197,1,9,2,25,35472
116,PIT,TEN,38,355,154,113,1,6,2,19,35472
117,KC,GB,37,91,74,192,4,1,1,11,35472
118,LV,HOU,16,266,54,96,2,1,1,65,35472
119,SEA,DEN,31,115,104,160,4,5,1,76,35472
120,NYG,SEA,19,5,117,1,4,1,0,59,35472
121,CAR,CHI,14,78,72,86,1,4,2,3,35493
122,BAL,LA,25,413,152,51,4,6,1,65,35493
123,LA,CHI,33,269,175,105,1,4,1,3,35493
124,CIN,HOU,47,21,23,176,0,9,1,28,35493
125,KC,ARI,49,170,86,1,0,9,1,83,35493
126,CAR,PHI,18,493,178,168,3,5,1,96,35493
127,WAS,DEN,12,322,115,15,4,0,0,41,35493
128,NYG,ARI,40,364,93,130,2,8,0,99,35493
129,SF,TEN,10,207,25,32,1,1,1,16,35562
130,BUF,DEN,47,188,69,157,1,5,0,85,35562
131,ATL,SEA,23,353,86,126,0,3,0,34,35562
132,DEN,CHI,42,494,54,37,4,3,2,76,35562
133,DEN,NE,10,357,20,125,2,7,2,91,35562
134,PIT,WAS,24,170,171,5,2,7,0,23,35562
135,BAL,CLE,15,245,101,183,0,7,2,41,35562
136,MIN,NE,27,163,194,66,0,6,1,55,35562
137,NYG,ARI,14,365,88,0,2,0,0,37,37075
138,DAL,PIT,49,100,167,2,1,3,2,78,37075
139,MIA,MIN,28,251,3,56,1,2,0,12,37075
140,ARI,MIA,32,115,50,134,2,6,0,60,37075
141,SF,NO,38,99,161,153,0,5,0,22,37075
142,CAR,NO,39,76,181,126,2,1,2,30,37075
143,MIN,JAX,33,26,133,123,2,4,2,27,37075
144,CIN,SEA,30,253,173,31,1,7,0,4,37075
145,DEN,SF,26,336,29,26,2,7,0,41,37077
146,PIT,CAR,26,292,133,194,4,7,2,4,37077
147,LAC,NO,22,289,67,34,3,4,0,1,37077
148,MIA,BUF,49,389,13,96,0,3,1,9,37077
149,NYJ,BAL,35,130,79,82,0,9,1,36,37077
150,GB,NYJ,13,349,33,191,0,2,2,38,37077
151,SF,DAL,36,28,160,192,0,0,2,40,37077
152,WAS,ARI,43,54,154,74,0,0,1,88,37077
153,PIT,GB,32,197,188,22,2,1,1,82,37078
154,LA,NYJ,19,308,113,77,3,5,1,98,37078
155,HOU,ARI,47,233,189,56,4,0,0,21,37078
156,BUF,MIN,41,307,98,133,3,3,2,90,37078
157,ATL,MIN,18,11,155,114,1,8,2,62,37078
158,JAX,IND,14,80,49,111,2,8,0,75,37078
159,NO,LAC,22,305,77,8,2,7,0,45,37078
160,NE,DAL,31,270,165,57,3,8,2,60,37078
161,NE,CAR,20,150,121,105,4,7,1,83,37079
162,CIN,BUF,45,358,183,44,1,7,1,45,37079
163,CLE,DET,47,486,198,173,4,8,1,94,37079
164,PIT,TB,35,248,188,34,4,7,2,45,37079
165,LA,ATL,35,461,122,124,2,3,1,1,37079
166,CHI,LAC,24,18,104,52,3,2,0,55,37079
167,ATL,WAS,27,405,26,42,0,1,1,9,37079
168,PHI,GB,46,268,104,71,0,4,0,91,37079
169,ARI,ATL,16,466,108,115,1,5,2,6,37087
170,DEN,BUF,42,267,121,70,1,8,0,43,37087
171,TB,NO,22,166,116,162,2,2,0,59,37087
172,BUF,MIN,48,426,166,123,3,5,2,84,37087
173,ARI,JAX,43,476,102,166,1,8,2,63,37087
174,JAX,HOU,18,392,62,11,1,9,2,23,37087
175,NE,MIN,12,142,36,8,0,7,2,32,37087
176,NO,CIN,49,116,3,96,4,4,0,87,37087
177,SEA,LV,46,73,176,13,2,9,2,91,37097
178,DEN,TB,33,387,189,177,0,1,2,55,37097
179,ARI,WAS,40,444,154,116,2,6,1,1,37097
180,TEN,CIN,12,228,5,183,2,3,2,55,37097
181,BUF,SF,42,196,28,175,1,4,0,34,37097
182,MIA,LA,22,217,171,151,2,2,2,55,37097
183,TEN,WAS,29,182,73,30,2,1,2,29,37097
184,ATL,LV,12,357,81,126,4,6,2,0,37097
185,HOU,KC,21,306,148,85,4,4,0,66,37101
186,BAL,DAL,29,442,87,101,0,8,2,19,37101
187,MIN,LV,13,383,55,96,2,5,2,38,37101
188,ARI,ATL,30,465,35,45,4,8,0,33,37101
189,HOU,NO,49,44,138,92,0,7,1,78,37101
190,HOU,CHI,44,168,192,184,1,9,1,51,37101
191,PIT,MIN,42,290,66,129,4,0,0,46,37101
192,LV,GB,20,344,80,162,4,8,2,87,37101
193,PIT,NYG,17,315,142,27,1,2,2,50,37104
194,SF,NYG,14,464,69,39,1,6,1,45,37104
195,BUF,IND,36,483,49,112,0,9,2,76,37104
196,NYJ,MIA,45,433,189,161,2,2,0,71,37104
197,WAS,PIT,13,441,107,156,4,4,1,61,37104
198,NYG,GB,30,422,187,76,2,0,2,82,37104
199,WAS,DEN,23,80,97,115,0,9,0,20,37104
200,HOU,NYG,28,383,166,43,4,4,2,62,37104
201,DEN,CIN,25,369,113,37,3,5,0,70,37130
202,NE,MIA,27,11,146,123,2,6,0,12,37130
203,BAL,TEN,16,498,47,109,4,8,2,32,37130
204,BUF,DET,29,405,33,145,2,8,2,45,37130
205,BUF,SF,40,401,17,173,3,3,2,34,37130
206,NYJ,NO,29,228,142,189,2,7,1,56,37130
207,NYG,ATL,29,396,38,17,2,1,1,29,37130
208,ARI,GB,42,74,121,30,4,9,0,77,37130
209,BUF,LA,39,308,178,121,2,7,1,64,37139
210,MIA,NYG,11,408,51,100,1,4,0,49,37139
211,SF,WAS,37,105,116,107,0,5,1,22,37139
212,DET,PIT,45,395,76,60,0,5,1,39,37139
213,PHI,CLE,37,476,196,181,0,5,2,68,37139
214,DEN,CLE,45,446,7,130,2,6,2,5,37139
215,DAL,LV,32,297,107,38,0,9,2,2,37139
216,BAL,CAR,25,216,129,124,1,8,1,87,37139
217,LA,DAL,15,344,27,152,4,2,1,26,37145
218,WAS,CIN,20,347,122,173,1,6,0,91,37145
219,LA,BUF,28,441,188,134,2,2,1,67,37145
220,CAR,NYJ,37,272,125,141,2,0,2,38,37145
221,NE,NYG,48,429,138,153,0,9,0,91,37145
222,NYJ,MIA,28,136,69,106,4,3,1,59,37145
223,BAL,WAS,48,293,71,78,3,3,0,11,37145
224,BAL,WAS,16,169,126,130,1,1,2,2,37145
225,DET,PIT,44,455,124,52,0,5,2,93,37266
226,WAS,TEN,23,12,40,57,2,3,0,81,37266
227,LV,PIT,28,100,68,60,2,8,0,92,37266
228,MIN,NE,17,116,87,133,3,0,0,32,37266
229,KC,SEA,45,155,74,96,0,9,1,1,37266
230,LV,DEN,21,339,123,49,0,6,1,47,37266
231,BUF,TB,47,53,171,132,0,5,0,15,37266
232,LV,CHI,28,189,97,25,1,9,2,95,37266
233,ARI,NYJ,14,108,152,194,4,8,1,69,37308
234,DAL,TB,48,342,180,38,1,4,2,49,37308
235,TB,DEN,15,207,51,24,4,3,0,72,37308
236,IND,LA,24,125,0,51,0,9,2,58,37308
237,CIN,JAX,42,68,144,106,4,4,1,29,37308
238,GB,WAS,17,345,117,179,2,7,2,40,37308
239,GB,NYG,29,30,95,94,2,1,0,32,37308
240,CLE,MIN,37,131,128,90,2,5,1,11,37308
241,SEA,HOU,20,231,59,42,1,2,1,91,37778
242,CAR,JAX,25,390,124,163,1,5,1,27,37778
243,JAX,MIN,14,188,169,85,2,9,1,35,37778
244,GB,MIA,26,200,33,171,2,6,2,70,37778
245,NYJ,TEN,16,284,106,182,4,4,2,82,37778
246,LV,SF,48,61,112,199,3,9,2,25,37778
247,IND,NE,39,290,187,96,2,1,2,73,37778
248,DET,CIN,41,68,74,155,2,9,0,86,37778
249,SEA,GB,45,167,192,5,2,6,0,26,38538
250,NYG,BAL,43,356,198,8,3,2,0,41,38538
251,CLE,PIT,37,383,114,144,1,6,0,26,38538
252,LV,NYJ,11,483,48,71,3,7,1,15,38538
253,LAC,MIA,31,402,46,89,4,1,0,81,38538
254,SEA,JAX,27,123,118,129,0,6,1,4,38538
255,LV,CIN,30,496,183,150,1,0,0,32,38538
256,MIN,BAL,42,203,38,20,4,6,1,86,38538
257,KC,NYJ,33,279,178,116,4,8,1,37,38540
258,JAX,CIN,11,374,193,31,0,8,2,89,38540
259,LAC,ATL,27,321,135,128,0,2,1,58,38540
260,TB,CHI,19,97,185,108,4,4,2,49,38540
261,DEN,MIN,13,177,60,187,3,2,2,25,38540
262,HOU,LV,13,246,80,87,0,2,1,95,38540
263,SF,HOU,18,458,92,11,4,8,1,37,38540
264,BUF,ATL,44,75,55,63,0,1,1,60,38540
265,WAS,ARI,15,329,180,12,1,2,1,21,38542
266,KC,MIA,26,449,93,133,1,5,2,61,38542
267,BUF,ATL,44,356,1,126,1,5,1,49,38542
268,WAS,MIA,42,359,149,46,0,5,1,9,38542
269,SF,CLE,11,300,66,73,2,5,1,91,38542
270,ATL,ARI,39,403,158,57,4,4,2,80,38542
271,TB,LA,26,77,175,61,1,7,1,22,38542
272,WAS,CIN,29,275,167,70,1,4,2,72,38542
273,NYJ,DET,39,168,52,63,4,5,0,21,38544
274,LV,NYJ,28,294,179,55,4,6,0,20,38544
275,SEA,DAL,47,314,157,73,1,1,1,94,38544
276,PIT,DET,17,198,137,183,3,4,1,61,38544
277,CIN,DAL,43,474,100,185,3,5,2,86,38544
278,NYJ,CHI,11,462,84,197,4,3,2,98,38544
279,PIT,MIN,11,218,100,47,3,3,1,93,38544
280,CLE,SEA,25,91,90,86,4,5,0,41,38544
281,DEN,BAL,25,205,120,138,3,8,2,98,38548
282,LA,IND,31,152,47,112,2,2,2,75,38548
283,SEA,NE,47,416,176,41,1,4,2,99,38548
284,WAS,NYJ,10,497,149,154,1,8,0,91,38548
285,WAS,NYJ,41,286,97,89,1,3,1,66,38548
286,WAS,MIN,36,41,172,91,2,3,2,40,38548
287,KC,CHI,16,102,122,54,0,3,2,88,38548
288,LAC,NE,48,491,136,181,1,2,1,20,38548
289,KC,NE,24,459,91,76,0,2,0,20,38551
290,HOU,LV,13,203,161,151,3,5,1,6,38551
291,JAX,NE,14,487,147,3,4,7,0,1,38551
292,CIN,BAL,14,220,157,70,0,7,2,69,38551
293,NYJ,BAL,47,427,48,18,1,1,2,93,38551
294,IND,BAL,45,346,103,116,4,4,2,37,38551
295,BAL,LA,22,307,80,4,4,3,2,2,38551
296,ATL,TEN,36,155,187,72,0,7,2,63,38551
297,BUF,ARI,20,268,92,10,1,4,1,22,38557
298,BAL,ARI,11,368,157,37,2,1,1,20,38557
299,SF,BUF,11,411,113,7,3,9,0,25,38557
300,DET,SEA,24,343,9,177,3,2,0,6,38557
301,LA,NO,24,3,10,88,4,0,2,44,38557
302,IND,KC,35,430,74,55,2,3,1,52,38557
303,BAL,ARI,19,358,155,158,3,8,2,58,38557
304,HOU,CIN,25,195,115,132,2,6,0,59,38557
305,BUF,TEN,42,316,36,21,2,5,0,91,38559
306,CLE,IND,27,435,37,172,3,0,1,8,38559
307,ARI,DAL,36,41,23,181,2,5,2,75,38559
308,CHI,PHI,11,335,86,78,2,3,1,9,38559
309,PIT,NYG,36,81,20,76,1,3,0,96,38559
310,GB,DAL,43,56,65,73,3,1,2,68,38559
311,TB,MIA,19,409,199,79,0,4,0,24,38559
312,MIA,PIT,10,9,177,76,3,1,2,52,38559
313,LAC,CHI,31,486,176,80,0,5,0,10,38577
314,NYJ,CIN,11,249,65,189,2,4,0,69,38577
315,TEN,PHI,15,177,121,161,2,8,2,72,38577
316,DEN,SF,48,259,52,149,3,8,0,1,38577
317,CAR,LA,43,361,64,12,3,1,0,28,38577
318,CHI,SEA,45,492,87,10,0,9,0,85,38577
319,NYJ,DEN,39,390,56,115,3,6,1,44,38577
320,ATL,CHI,19,449,8,97,2,0,1,18,38577
321,SEA,CLE,38,327,11,166,1,0,0,77,38588
322,BUF,DET,33,468,179,53,2,4,0,75,38588
323,LA,SEA,32,477,66,43,3,5,0,48,38588
324,NYG,CIN,24,399,178,140,0,4,2,0,38588
325,HOU,WAS,46,31,44,189,2,3,0,12,38588
326,SEA,PHI,25,226,100,55,0,3,0,28,38588
327,PIT,TEN,32,30,196,123,4,4,2,12,38588
328,PHI,ARI,31,252,112,71,2,6,1,65,38588
329,LA,SF,30,153,63,45,1,1,0,78,38592
330,BUF,CIN,36,143,42,56,2,1,1,60,38592
331,ATL,TB,24,237,51,141,2,6,2,86,38592
332,DAL,SF,13,55,0,147,4,4,1,46,38592
333,TB,CHI,45,455,42,128,2,4,2,38,38592
334,NE,LA,35,82,162,42,4,8,1,87,38592
335,GB,ARI,37,183,152,130,3,1,1,19,38592
336,SF,NYJ,16,232,95,99,1,2,0,84,38592
337,CLE,CAR,46,98,70,133,3,5,0,35,38605
338,DET,BAL,21,112,74,60,3,1,0,74,38605
339,CLE,NO,15,350,100,184,2,8,1,16,38605
340,TB,CAR,33,97,4,135,3,1,2,23,38605
341,SF,IND,34,34,105,133,3,2,1,85,38605
342,DET,GB,17,360,64,188,3,5,1,65,38605
343,BUF,CLE,22,399,176,194,3,8,2,89,38605
344,NE,CHI,25,88,51,138,0,6,0,12,38605
345,PIT,NO,46,469,168,36,3,4,0,61,38607
346,CLE,MIN,30,300,196,162,3,5,1,35,38607
347,ATL,SEA,35,181,95,95,2,3,0,11,38607
348,PHI,KC,36,108,70,176,4,5,2,87,38607
349,TEN,DEN,29,45,13,160,4,3,1,25,38607
350,MIN,JAX,43,154,127,163,1,0,1,55,38607
351,DAL,IND,12,392,73,105,4,0,0,7,38607
352,NO,PIT,40,179,75,164,2,9,1,48,38607
353,DET,CAR,27,437,96,61,1,1,2,67,38619
354,DET,CIN,36,491,177,127,3,9,1,87,38619
355,TEN,MIN,34,369,175,101,1,9,0,64,38619
356,DEN,MIA,30,164,168,175,1,7,1,39,38619
357,MIN,LV,44,331,187,59,0,7,1,29,38619
358,ATL,LAC,21,34,5,65,4,0,0,82,38619
359,NYG,KC,42,153,170,36,2,6,0,58,38619
360,DAL,ATL,10,203,11,79,4,8,2,8,38619
361,BAL,SEA,19,490,53,109,2,7,0,55,38629
362,LA,NE,11,402,120,198,1,5,1,77,38629
363,NO,DAL,40,294,105,119,4,9,1,53,38629
364,DEN,MIN,29,485,30,54,1,9,0,2,38629
365,ATL,BUF,10,316,26,189,2,1,1,7,38629
366,ATL,JAX,49,244,143,41,0,9,2,28,38629
367,CHI,MIN,41,448,100,131,3,2,1,85,38629
368,PIT,IND,14,215,34,104,3,7,1,49,38629
369,SF,CLE,17,32,23,142,2,4,2,81,38632
370,MIA,SF,21,113,83,191,4,1,2,48,38632
371,ARI,DAL,25,54,171,153,0,9,0,95,38632
372,TEN,NE,34,369,64,98,3,1,2,7,38632
373,CAR,TB,42,220,177,79,4,0,2,89,38632
374,DAL,ATL,40,166,147,63,4,5,1,72,38632
375,WAS,JAX,17,270,120,164,3,5,0,65,38632
376,SF,CHI,25,365,151,104,2,8,0,89,38632
377,NYG,TEN,20,188,79,123,3,7,1,6,38696
378,CLE,SF,29,305,161,177,0,8,2,38,38696
379,LA,MIA,32,303,198,108,4,1,0,81,38696
380,LV,CLE,10,299,12,74,3,8,1,49,38696
381,CLE,LV,45,180,199,101,1,9,2,32,38696
382,GB,PIT,22,40,42,164,1,2,0,78,38696
383,NYG,PHI,15,356,100,157,1,8,2,66,38696
384,MIN,SF,42,480,188,105,4,6,0,70,38696
385,MIN,GB,12,343,148,185,2,1,0,9,38779
386,DET,WAS,25,241,14,112,0,8,0,97,38779
387,MIA,KC,19,493,19,174,2,9,0,92,38779
388,DEN,NYJ,17,74,123,86,0,0,2,4,38779
389,CAR,HOU,29,406,92,92,3,6,2,99,38779
390,CHI,BAL,28,46,30,19,4,0,0,67,38779
391,IND,SEA,47,324,91,162,3,3,0,4,38779
392,KC,NE,44,423,91,29,3,2,1,41,38779
393,CAR,GB,18,438,72,33,3,1,2,32,38843
394,CHI,PIT,16,324,1,19,3,4,1,20,38843
395,LV,GB,43,304,185,124,0,9,2,57,38843
396,WAS,MIN,49,418,33,122,4,3,1,48,38843
397,NYJ,LA,13,17,22,139,4,8,0,29,38843
398,MIN,BAL,45,143,172,110,0,2,1,85,38843
399,DEN,HOU,43,379,68,48,1,2,1,9,38843
400,LA,CHI,26,44,164,77,0,6,1,78,38843
401,KC,SEA,47,476,92,31,0,7,1,96,38868
402,DEN,TB,38,414,134,168,1,6,0,95,38868
403,ARI,BAL,45,458,86,194,2,8,1,88,38868
404,NE,DEN,41,61,187,8,0,2,1,38,38868
405,BAL,NE,14,233,97,158,4,0,1,15,38868
406,GB,ATL,18,304,73,130,3,2,2,52,38868
407,DEN,LA,31,97,158,40,2,7,1,5,38868
408,CLE,HOU,15,217,97,52,0,7,1,41,38868
409,LV,PHI,26,257,8,108,0,4,0,39,39212
410,CIN,PHI,22,161,18,190,4,5,2,52,39212
411,ATL,LV,47,227,38,194,2,2,2,73,39212
412,MIA,SEA,17,157,119,50,0,1,1,93,39212
413,IND,TEN,18,150,72,144,0,2,2,36,39212
414,WAS,CAR,20,152,98,31,4,4,2,70,39212
415,GB,BAL,21,105,26,63,0,0,1,78,39212
416,TEN,KC,42,272,162,39,2,2,1,40,39212
417,CHI,IND,30,485,134,88,4,4,0,14,39684
418,MIA,GB,22,56,59,151,1,0,0,55,39684
419,HOU,DET,45,90,137,3,0,6,2,7,39684
420,NE,LAC,46,316,94,187,2,7,2,35,39684
421,NE,CIN,21,136,47,80,3,3,1,68,39684
422,CIN,DET,22,292,174,186,3,2,0,62,39684
423,PIT,IND,23,446,180,87,1,1,1,6,39684
424,NO,BUF,32,162,66,162,3,0,0,91,39684
425,MIA,SEA,34,427,112,196,3,6,0,10,39908
426,PIT,TEN,44,69,157,117,0,9,2,17,39908
427,PIT,CIN,37,267,9,151,3,8,2,38,39908
428,LAC,JAX,34,450,64,35,2,5,1,81,39908
429,SF,KC,15,299,22,175,2,7,1,57,39908
430,NYG,TB,13,35,67,146,3,0,0,4,39908
431,BUF,NYG,23,2,161,38,4,1,1,18,39908
432,TEN,HOU,31,413,58,70,2,5,2,55,39908
433,CHI,CIN,24,487,55,124,0,3,2,1,39950
434,TEN,LV,34,362,145,39,1,1,0,48,39950
435,LA,HOU,27,324,153,130,2,7,1,3,39950
436,MIN,NYJ,17,317,39,35,1,6,2,90,39950
437,NYG,ARI,31,15,163,192,3,3,0,56,39950
438,KC,IND,34,74,6,34,3,6,1,77,39950
439,CHI,CAR,20,114,49,88,0,1,1,73,39950
440,SEA,DEN,22,160,109,126,2,4,0,93,39950
441,IND,PIT,19,385,71,157,2,2,1,21,39975
442,NO,NYJ,38,217,8,170,0,6,0,22,39975
443,PHI,LAC,41,375,198,140,1,3,1,77,39975
444,MIN,IND,31,96,178,168,1,5,1,29,39975
445,GB,DET,48,214,122,125,3,5,0,73,39975
446,NYJ,DEN,25,399,69,111,4,4,2,7,39975
447,LA,DEN,28,315,112,52,1,2,1,63,39975
448,NE,IND,29,406,196,44,1,1,2,66,39975
449,NYJ,DET,13,439,156,74,2,1,2,36,39983
450,JAX,PIT,12,133,106,80,2,6,1,28,39983
451,TB,PIT,12,157,56,43,1,2,2,54,39983
452,NYG,DET,29,301,40,52,0,9,2,48,39983
453,GB,WAS,44,284,187,13,1,8,1,45,39983
454,MIN,CLE,34,312,183,101,1,9,2,83,39983
455,DEN,LA,47,285,93,5,0,3,2,80,39983
456,ARI,WAS,42,388,65,149,2,3,1,82,39983
457,ATL,GB,32,309,181,156,1,1,2,93,39984
458,LV,DET,21,41,157,91,0,5,2,15,39984
459,TEN,CAR,34,377,157,92,1,0,2,79,39984
460,LV,TEN,48,162,103,52,3,9,1,92,39984
461,TB,ATL,17,205,138,53,0,8,0,68,39984
462,TB,CLE,44,6,124,84,0,6,2,46,39984
463,LA,DEN,25,70,155,90,3,6,2,44,39984
464,JAX,LAC,33,72,22,176,2,9,2,21,39984
465,DET,LV,43,211,10,134,0,5,0,35,39987
466,NYJ,NE,42,99,43,121,2,9,1,66,39987
467,PIT,PHI,10,312,138,149,3,8,2,38,39987
468,BUF,MIA,28,119,197,31,3,8,2,80,39987
469,CHI,LV,21,192,39,150,3,6,0,99,39987
470,HOU,IND,14,58,58,100,0,7,1,18,39987
471,ARI,MIA,38,26,197,147,4,8,2,88,39987
472,ARI,TEN,33,165,186,68,4,7,0,44,39987
473,DET,BUF,46,91,122,103,0,4,0,48,39989
474,CLE,CHI,49,266,18,197,2,3,2,67,39989
475,LAC,HOU,14,357,164,129,1,6,1,14,39989
476,MIA,HOU,19,465,49,137,0,0,1,96,39989
477,WAS,NYG,30,57,115,83,3,0,2,64,39989
478,CAR,NYJ,40,108,5,55,2,7,2,12,39989
479,GB,LAC,24,24,161,163,2,9,1,49,39989
480,CHI,JAX,32,198,129,180,0,5,0,77,39989
481,CLE,SF,12,229,101,169,0,9,2,35,39997
482,NO,BAL,48,83,41,14,0,9,1,19,39997
483,SF,IND,22,228,23,112,4,7,0,69,39997
484,SF,NO,22,214,191,183,3,7,0,26,39997
485,CHI,JAX,34,215,109,129,1,1,0,31,39997
486,CHI,MIN,37,194,191,12,1,8,2,47,39997
487,KC,WAS,42,103,162,51,1,6,2,77,39997
